_class,id,headline,title,url,avg_rating
course,1298438,A beginner's guide to the building blocks of digital art,Art Fundamentals - Building Blocks of Digital Painting,/course/art-fundamentals-in-one-hour/,4.7027025
course,2223252,"Improve your core development skills by building a Quiz App with HTML, CSS, and JavaScript","Build a Quiz App with HTML, CSS, and JavaScript",/course/build-a-quiz-app-with-html-css-and-javascript/,4.4651165
course,2602414,Get your first AWS Certification and Learn the AWS Fundamentals.,Free AWS Certified Cloud Practitioner 2019,/course/free-aws-certified-cloud-practitioner/,4.489286
course,146156,Simply the best place to start learning Android Development.,Become an Android Developer from Scratch,/course/become-an-android-developer-from-scratch/,4.457143
course,574878,Guide to setting up a website learn about setting up a web business HTML CSS and JavaScript create your own website,Web Developer Course HTML CSS JavaScript Learn Web Design,/course/web-developer-course-on-creating-a-business-website/,4.415385
course,4694082,"Master English Vocabulary, English Idioms, English Phrases, Practice Speaking English with Funny Dialogues.","Enhance English Vocabulary, Idioms, Improve Speaking (Free)",/course/enhance-english-vocabulary-idioms-improve-speaking-free/,4.483871
course,3367848,"Learn great English Writing skills for essays, reports, emails, articles and exams.",Formal English Writing - Go to the Next Level!,/course/formal-english-writing-course/,4.693182
course,64098,A beginner's guide to learn Cloud Computing with AWS,Cloud Computing With Amazon Web Services,/course/cloud-computing-with-amazon-web-services-part-1/,4.404762
course,3479574,"Learn about bridges, hubs, switches, routers, firewalls, servers, clients and many other network fundamentals.",Free CCNA 200-301 Course: Network Fundamentals,/course/free-ccna-200-301-network-fundamentals/,4.696262
course,3075098,One of the best Microsoft Azure course of all time.,AZ-900  Microsoft Azure Fundamentals,/course/az-900-azure-tutorial/,4.383085
course,1675864,Get up to speed with Linux shell scripting quickly,Intro to Linux Shell Scripting (Free course),/course/linux-shell-scripting-free/,4.6392407
course,2222664,Java for Testers and Developers,Learn Java Programming,/course/learn-java-programming-a/,4.538168
course,647330,The amazing story about the Modal Verbs and their adventures,Start speaking German with the Modal verbs,/course/german_modal_verbs/,4.8125
course,3550828,"Learn about the USB Rubber Ducky, the O.MG cable and more",Ethical hacking with Hak5 devices,/course/ethical-hacking-with-hak5-devices/,4.5945945
